# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Dec 28 12:14:09 UTC 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.050386 0.60000 10.00000 1.0095268488 2.4748880728    1.008  0.134  3.7348  4.199    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 6.585e-01 2.961e-01 8.018e-03 2.193e-03 1.994e-02 -1.000 4.537e-02 4.434 4.333 4.747 3.753
0.050386 0.60000 10.00000 1.0181603432 2.4766391008    1.017  0.169  3.7346  4.167    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 6.562e-01 2.982e-01 8.069e-03 2.207e-03 2.007e-02 -1.000 4.562e-02 4.349 4.249 4.663 3.668
0.050386 0.60000 10.00000 1.0255168676 2.4781044132    1.024  0.198  3.7332  4.135    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-13      0.00 6.531e-01 3.009e-01 8.136e-03 2.225e-03 2.023e-02 -1.000 4.600e-02 4.275 4.178 4.595 3.594
0.050386 0.60000 10.00000 1.0333300829 2.4796344472    1.032  0.229  3.7304  4.096    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-13      0.00 6.490e-01 3.044e-01 8.227e-03 2.250e-03 2.046e-02 -1.000 4.655e-02 4.198 4.105 4.529 3.516
0.050386 0.60000 10.00000 1.0351479053 2.4799866181    1.034  0.236  3.7295  4.086    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-13      0.00 6.477e-01 3.056e-01 8.257e-03 2.258e-03 2.053e-02 -1.000 4.673e-02 4.180 4.089 4.515 3.499
0.050386 0.60000 10.00000 1.0387111902 2.4806728306    1.037  0.251  3.7275  4.065    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-13      0.00 6.453e-01 3.076e-01 8.312e-03 2.273e-03 2.067e-02 -1.000 4.704e-02 4.144 4.058 4.487 3.463
0.050386 0.60000 10.00000 1.0440738201 2.4816954122    1.043  0.269  3.7217  4.026    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.07e-13      0.00 6.405e-01 3.119e-01 8.421e-03 2.302e-03 2.094e-02 -1.000 4.762e-02 4.097 4.023 4.465 3.417
0.050386 0.60000 10.00000 1.0496156216 2.4827395440    1.048  0.284  3.7110  3.971    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-13      0.00 6.334e-01 3.182e-01 8.575e-03 2.344e-03 2.131e-02 -1.000 4.844e-02 4.061 4.012 4.479 3.383
0.050386 0.60000 10.00000 1.0523103476 2.4832426902    1.051  0.289  3.7023  3.932    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-13      0.00 6.287e-01 3.223e-01 8.674e-03 2.370e-03 2.155e-02 -1.000 4.899e-02 4.047 4.021 4.509 3.372
0.050386 0.60000 10.00000 1.0541795492 2.4835899613    1.052  0.298  3.6945  3.892    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.53e-13      0.00 6.249e-01 3.257e-01 8.750e-03 2.390e-03 2.174e-02 -1.000 4.938e-02 4.024 4.020 4.529 3.353
